"nis","nama","keterangan","jurusan"
"10577","Siswa Tes 577","Lulus","TOI"
"10578","Siswa Tes 578","Lulus","TITL"
"10579","Siswa Tes 579","Lulus","KA"
"10580","Siswa Tes 580","Lulus","DKV"
"10581","Siswa Tes 581","Lulus","BCPF"
"10582","Siswa Tes 582","Lulus","OTO"
"10583","Siswa Tes 583","Lulus","LAS"
"10584","Siswa Tes 584","Lulus","MESIN"
"10585","Siswa Tes 585","Lulus","TJKT"
"10586","Siswa Tes 586","Lulus","TOI"
"10587","Siswa Tes 587","Lulus","TITL"
"10588","Siswa Tes 588","Lulus","KA"
"10589","Siswa Tes 589","Lulus","DKV"
"10590","Siswa Tes 590","Lulus","BCPF"
"10591","Siswa Tes 591","Lulus","OTO"
"10592","Siswa Tes 592","Lulus","LAS"
"10593","Siswa Tes 593","Lulus","MESIN"
"10594","Siswa Tes 594","Lulus","TJKT"
"10595","Siswa Tes 595","Lulus","TOI"
"10596","Siswa Tes 596","Lulus","TITL"
"10597","Siswa Tes 597","Lulus","KA"
"10598","Siswa Tes 598","Lulus","DKV"
"10599","Siswa Tes 599","Lulus","BCPF"
"10600","Siswa Tes 600","Lulus","OTO"
"10601","Siswa Tes 601","Lulus","LAS"
"10602","Siswa Tes 602","Lulus","MESIN"
"10603","Siswa Tes 603","Lulus","TJKT"
"10604","Siswa Tes 604","Lulus","TOI"
"10605","Siswa Tes 605","Lulus","TITL"
"10606","Siswa Tes 606","Lulus","KA"
"10607","Siswa Tes 607","Lulus","DKV"
"10608","Siswa Tes 608","Lulus","BCPF"
"10609","Siswa Tes 609","Lulus","OTO"
"10610","Siswa Tes 610","Lulus","LAS"
"10611","Siswa Tes 611","Lulus","MESIN"
"10612","Siswa Tes 612","Lulus","TJKT"
"10613","Siswa Tes 613","Lulus","TOI"
"10614","Siswa Tes 614","Lulus","TITL"
"10615","Siswa Tes 615","Lulus","KA"
"10616","Siswa Tes 616","Lulus","DKV"
"10617","Siswa Tes 617","Lulus","BCPF"
"10618","Siswa Tes 618","Lulus","OTO"
"10619","Siswa Tes 619","Lulus","LAS"
"10620","Siswa Tes 620","Lulus","MESIN"
"10621","Siswa Tes 621","Lulus","TJKT"
"10622","Siswa Tes 622","Lulus","TOI"
"10623","Siswa Tes 623","Lulus","TITL"
"10624","Siswa Tes 624","Lulus","KA"
"10625","Siswa Tes 625","Lulus","DKV"
"10626","Siswa Tes 626","Lulus","BCPF"
"10627","Siswa Tes 627","Lulus","OTO"
"10628","Siswa Tes 628","Lulus","LAS"
"10629","Siswa Tes 629","Lulus","MESIN"
"10630","Siswa Tes 630","Lulus","TJKT"
"10631","Siswa Tes 631","Lulus","TOI"
"10632","Siswa Tes 632","Lulus","TITL"
"10633","Siswa Tes 633","Lulus","KA"
"10634","Siswa Tes 634","Lulus","DKV"
"10635","Siswa Tes 635","Lulus","BCPF"
"10636","Siswa Tes 636","Lulus","OTO"
"10637","Siswa Tes 637","Lulus","LAS"
"10638","Siswa Tes 638","Lulus","MESIN"
"10639","Siswa Tes 639","Lulus","TJKT"
"10640","Siswa Tes 640","Lulus","TOI"
"10641","Siswa Tes 641","Lulus","TITL"
"10642","Siswa Tes 642","Lulus","KA"
"10643","Siswa Tes 643","Lulus","DKV"
"10644","Siswa Tes 644","Lulus","BCPF"
"10645","Siswa Tes 645","Lulus","OTO"
"10646","Siswa Tes 646","Lulus","LAS"
"10647","Siswa Tes 647","Lulus","MESIN"
"10648","Siswa Tes 648","Lulus","TJKT"
"10649","Siswa Tes 649","Lulus","TOI"
"10650","Siswa Tes 650","Lulus","TITL"
"10651","Siswa Tes 651","Lulus","KA"
"10652","Siswa Tes 652","Lulus","DKV"
"10653","Siswa Tes 653","Lulus","BCPF"
"10654","Siswa Tes 654","Lulus","OTO"
"10655","Siswa Tes 655","Lulus","LAS"
"10656","Siswa Tes 656","Lulus","MESIN"
"10657","Siswa Tes 657","Lulus","TJKT"
"10658","Siswa Tes 658","Lulus","TOI"
"10659","Siswa Tes 659","Lulus","TITL"
"10660","Siswa Tes 660","Lulus","KA"
"10661","Siswa Tes 661","Lulus","DKV"
"10662","Siswa Tes 662","Lulus","BCPF"
"10663","Siswa Tes 663","Lulus","OTO"
"10664","Siswa Tes 664","Lulus","LAS"
"10665","Siswa Tes 665","Lulus","MESIN"
"10666","Siswa Tes 666","Lulus","TJKT"
"10667","Siswa Tes 667","Lulus","TOI"
"10668","Siswa Tes 668","Lulus","TITL"
"10669","Siswa Tes 669","Lulus","KA"
"10670","Siswa Tes 670","Lulus","DKV"
"10671","Siswa Tes 671","Lulus","BCPF"
"10672","Siswa Tes 672","Lulus","OTO"
"10673","Siswa Tes 673","Lulus","LAS"
"10674","Siswa Tes 674","Lulus","MESIN"
"10675","Siswa Tes 675","Lulus","TJKT"
"10676","Siswa Tes 676","Lulus","TOI"
"10677","Siswa Tes 677","Lulus","TITL"
"10678","Siswa Tes 678","Lulus","KA"
"10679","Siswa Tes 679","Lulus","DKV"
"10680","Siswa Tes 680","Lulus","BCPF"
"10681","Siswa Tes 681","Lulus","OTO"
"10682","Siswa Tes 682","Lulus","LAS"
"10683","Siswa Tes 683","Lulus","MESIN"
"10684","Siswa Tes 684","Lulus","TJKT"
"10685","Siswa Tes 685","Lulus","TOI"
"10686","Siswa Tes 686","Lulus","TITL"
"10687","Siswa Tes 687","Lulus","KA"
"10688","Siswa Tes 688","Lulus","DKV"
"10689","Siswa Tes 689","Lulus","BCPF"
"10690","Siswa Tes 690","Lulus","OTO"
"10691","Siswa Tes 691","Lulus","LAS"
"10692","Siswa Tes 692","Lulus","MESIN"
"10693","Siswa Tes 693","Lulus","TJKT"
"10694","Siswa Tes 694","Lulus","TOI"
"10695","Siswa Tes 695","Lulus","TITL"
"10696","Siswa Tes 696","Lulus","KA"
"10697","Siswa Tes 697","Lulus","DKV"
"10698","Siswa Tes 698","Lulus","BCPF"
"10699","Siswa Tes 699","Lulus","OTO"
"10700","Siswa Tes 700","Lulus","LAS"
"10701","Siswa Tes 701","Lulus","MESIN"
"10702","Siswa Tes 702","Lulus","TJKT"
"10703","Siswa Tes 703","Lulus","TOI"
"10704","Siswa Tes 704","Lulus","TITL"
"10705","Siswa Tes 705","Lulus","KA"
"10706","Siswa Tes 706","Lulus","DKV"
"10707","Siswa Tes 707","Lulus","BCPF"
"10708","Siswa Tes 708","Lulus","OTO"
"10709","Siswa Tes 709","Lulus","LAS"
"10710","Siswa Tes 710","Lulus","MESIN"
"10711","Siswa Tes 711","Lulus","TJKT"
"10712","Siswa Tes 712","Lulus","TOI"
"10713","Siswa Tes 713","Lulus","TITL"
"10714","Siswa Tes 714","Lulus","KA"
"10715","Siswa Tes 715","Lulus","DKV"
"10716","Siswa Tes 716","Lulus","BCPF"
"10717","Siswa Tes 717","Lulus","OTO"
"10718","Siswa Tes 718","Lulus","LAS"
"10719","Siswa Tes 719","Lulus","MESIN"
"10720","Siswa Tes 720","Lulus","TJKT"
"10721","Siswa Tes 721","Lulus","TOI"
"10722","Siswa Tes 722","Lulus","TITL"
"10723","Siswa Tes 723","Lulus","KA"
"10724","Siswa Tes 724","Lulus","DKV"
"10725","Siswa Tes 725","Lulus","BCPF"
"10726","Siswa Tes 726","Lulus","OTO"
"10727","Siswa Tes 727","Lulus","LAS"
"10728","Siswa Tes 728","Lulus","MESIN"
"10729","Siswa Tes 729","Lulus","TJKT"
"10730","Siswa Tes 730","Lulus","TOI"
"10731","Siswa Tes 731","Lulus","TITL"
"10732","Siswa Tes 732","Lulus","KA"
"10733","Siswa Tes 733","Lulus","DKV"
"10734","Siswa Tes 734","Lulus","BCPF"
"10735","Siswa Tes 735","Lulus","OTO"
"10736","Siswa Tes 736","Lulus","LAS"
"10737","Siswa Tes 737","Lulus","MESIN"
"10738","Siswa Tes 738","Lulus","TJKT"
"10739","Siswa Tes 739","Lulus","TOI"
"10740","Siswa Tes 740","Lulus","TITL"
"10741","Siswa Tes 741","Lulus","KA"
"10742","Siswa Tes 742","Lulus","DKV"
"10743","Siswa Tes 743","Lulus","BCPF"
"10744","Siswa Tes 744","Lulus","OTO"
"10745","Siswa Tes 745","Lulus","LAS"
"10746","Siswa Tes 746","Lulus","MESIN"
"10747","Siswa Tes 747","Lulus","TJKT"
"10748","Siswa Tes 748","Lulus","TOI"
"10749","Siswa Tes 749","Lulus","TITL"
"10750","Siswa Tes 750","Lulus","KA"
"10751","Siswa Tes 751","Lulus","DKV"
"10752","Siswa Tes 752","Lulus","BCPF"
"10753","Siswa Tes 753","Lulus","OTO"
"10754","Siswa Tes 754","Lulus","LAS"
"10755","Siswa Tes 755","Lulus","MESIN"
"10756","Siswa Tes 756","Lulus","TJKT"
"10757","Siswa Tes 757","Lulus","TOI"
"10758","Siswa Tes 758","Lulus","TITL"
"10759","Siswa Tes 759","Lulus","KA"
"10760","Siswa Tes 760","Lulus","DKV"
"10761","Siswa Tes 761","Lulus","BCPF"
"10762","Siswa Tes 762","Lulus","OTO"
"10763","Siswa Tes 763","Lulus","LAS"
"10764","Siswa Tes 764","Lulus","MESIN"
"10765","Siswa Tes 765","Lulus","TJKT"
"10766","Siswa Tes 766","Lulus","TOI"
"10767","Siswa Tes 767","Lulus","TITL"
"10768","Siswa Tes 768","Lulus","KA"
"10769","Siswa Tes 769","Lulus","DKV"
"10770","Siswa Tes 770","Lulus","BCPF"
"10771","Siswa Tes 771","Lulus","OTO"
"10772","Siswa Tes 772","Lulus","LAS"
"10773","Siswa Tes 773","Lulus","MESIN"
"10774","Siswa Tes 774","Lulus","TJKT"
"10775","Siswa Tes 775","Lulus","TOI"
"10776","Siswa Tes 776","Lulus","TITL"
"10777","Siswa Tes 777","Lulus","KA"
"10778","Siswa Tes 778","Lulus","DKV"
"10779","Siswa Tes 779","Lulus","BCPF"
"10780","Siswa Tes 780","Lulus","OTO"
"10781","Siswa Tes 781","Lulus","LAS"
"10782","Siswa Tes 782","Lulus","MESIN"
"10783","Siswa Tes 783","Lulus","TJKT"
"10784","Siswa Tes 784","Lulus","TOI"
"10785","Siswa Tes 785","Lulus","TITL"
"10786","Siswa Tes 786","Lulus","KA"
"10787","Siswa Tes 787","Lulus","DKV"
"10788","Siswa Tes 788","Lulus","BCPF"
"10789","Siswa Tes 789","Lulus","OTO"
"10790","Siswa Tes 790","Lulus","LAS"
"10791","Siswa Tes 791","Lulus","MESIN"
"10792","Siswa Tes 792","Lulus","TJKT"
"10793","Siswa Tes 793","Lulus","TOI"
"10794","Siswa Tes 794","Lulus","TITL"
"10795","Siswa Tes 795","Lulus","KA"
"10796","Siswa Tes 796","Lulus","DKV"
"10797","Siswa Tes 797","Lulus","BCPF"
"10798","Siswa Tes 798","Lulus","OTO"
"10799","Siswa Tes 799","Lulus","LAS"
"10800","Siswa Tes 800","Lulus","MESIN"
"10801","Siswa Tes 801","Lulus","TJKT"
"10802","Siswa Tes 802","Lulus","TOI"
"10803","Siswa Tes 803","Lulus","TITL"
"10804","Siswa Tes 804","Lulus","KA"
"10805","Siswa Tes 805","Lulus","DKV"
"10806","Siswa Tes 806","Lulus","BCPF"
"10807","Siswa Tes 807","Lulus","OTO"
"10808","Siswa Tes 808","Lulus","LAS"
"10809","Siswa Tes 809","Lulus","MESIN"
"10810","Siswa Tes 810","Lulus","TJKT"
"10811","Siswa Tes 811","Lulus","TOI"
"10812","Siswa Tes 812","Lulus","TITL"
"10813","Siswa Tes 813","Lulus","KA"
"10814","Siswa Tes 814","Lulus","DKV"
"10815","Siswa Tes 815","Lulus","BCPF"
"10816","Siswa Tes 816","Lulus","OTO"
"10817","Siswa Tes 817","Lulus","LAS"
"10818","Siswa Tes 818","Lulus","MESIN"
"10819","Siswa Tes 819","Lulus","TJKT"
"10820","Siswa Tes 820","Lulus","TOI"
"10821","Siswa Tes 821","Lulus","TITL"
"10822","Siswa Tes 822","Lulus","KA"
"10823","Siswa Tes 823","Lulus","DKV"
"10824","Siswa Tes 824","Lulus","BCPF"
"10825","Siswa Tes 825","Lulus","OTO"
"10826","Siswa Tes 826","Lulus","LAS"
"10827","Siswa Tes 827","Lulus","MESIN"
"10828","Siswa Tes 828","Lulus","TJKT"
"10829","Siswa Tes 829","Lulus","TOI"
"10830","Siswa Tes 830","Lulus","TITL"
"10831","Siswa Tes 831","Lulus","KA"
"10832","Siswa Tes 832","Lulus","DKV"
"10833","Siswa Tes 833","Lulus","BCPF"
"10834","Siswa Tes 834","Lulus","OTO"
"10835","Siswa Tes 835","Lulus","LAS"
"10836","Siswa Tes 836","Lulus","MESIN"
"10837","Siswa Tes 837","Lulus","TJKT"
"10838","Siswa Tes 838","Lulus","TOI"
"10839","Siswa Tes 839","Lulus","TITL"
"10840","Siswa Tes 840","Lulus","KA"
"10841","Siswa Tes 841","Lulus","DKV"
"10842","Siswa Tes 842","Lulus","BCPF"
"10843","Siswa Tes 843","Lulus","OTO"
"10844","Siswa Tes 844","Lulus","LAS"
"10845","Siswa Tes 845","Lulus","MESIN"
"10846","Siswa Tes 846","Lulus","TJKT"
"10847","Siswa Tes 847","Lulus","TOI"
"10848","Siswa Tes 848","Lulus","TITL"
"10849","Siswa Tes 849","Lulus","KA"
"10850","Siswa Tes 850","Lulus","DKV"
"20428","Adillaaa","Lulus","TOI"
